Montage,Current_Ch1_mA,Current_Ch2_mA,TImax_ROI,TImean_ROI,TImean_GM,Focality,Composite_Index
T7_TP7 <> F3_P9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1217,0.0680,0.0362,1.8772,0.1276
T7_TP7 <> F3_P9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0811,0.0453,0.0242,1.8739,0.0850
T7_TP7 <> F3_P9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0406,0.0227,0.0121,1.8736,0.0425
T7_TP7 <> F3_TP9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0845,0.0525,0.0370,1.4208,0.0746
T7_TP7 <> F3_TP9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1690,0.0945,0.0553,1.7083,0.1615
T7_TP7 <> F3_TP9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1949,0.1056,0.0552,1.9152,0.2023
T7_TP7 <> F3_TP9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1623,0.0897,0.0470,1.9108,0.1714
T7_TP7 <> F3_TP9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1217,0.0679,0.0360,1.8851,0.1280
T7_TP7 <> F3_TP9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0811,0.0453,0.0242,1.8752,0.0850
T7_TP7 <> F3_TP9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0406,0.0227,0.0121,1.8736,0.0425
T7_TP7 <> FC3_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0848,0.0456,0.0337,1.3539,0.0617
T7_TP7 <> FC3_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1695,0.0906,0.0537,1.6865,0.1528
T7_TP7 <> FC3_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2029,0.1103,0.0548,2.0128,0.2220
T7_TP7 <> FC3_P3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1623,0.0906,0.0472,1.9196,0.1738
T7_TP7 <> FC3_P3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1217,0.0680,0.0362,1.8795,0.1278
T7_TP7 <> FC3_P3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0811,0.0453,0.0242,1.8744,0.0850
T7_TP7 <> FC3_P3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0406,0.0227,0.0121,1.8736,0.0425
T7_TP7 <> FC3_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0608,0.0362,0.0249,1.4512,0.0525
T7_TP7 <> FC3_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1216,0.0721,0.0437,1.6520,0.1192
T7_TP7 <> FC3_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1819,0.0992,0.0489,2.0285,0.2012
T7_TP7 <> FC3_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1623,0.0903,0.0451,2.0019,0.1807
T7_TP7 <> FC3_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1217,0.0680,0.0358,1.9000,0.1291
T7_TP7 <> FC3_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0811,0.0453,0.0242,1.8757,0.0850
T7_TP7 <> FC3_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0406,0.0227,0.0121,1.8737,0.0425
T7_TP7 <> FC3_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.1018,0.0530,0.0406,1.3062,0.0692
T7_TP7 <> FC3_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.2036,0.1023,0.0604,1.6939,0.1734
T7_TP7 <> FC3_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2029,0.1105,0.0572,1.9311,0.2133
T7_TP7 <> FC3_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1623,0.0905,0.0478,1.8942,0.1713
T7_TP7 <> FC3_PO7_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1217,0.0680,0.0362,1.8762,0.1275
T7_TP7 <> FC3_PO7_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0811,0.0453,0.0242,1.8740,0.0850
T7_TP7 <> FC3_PO7_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0406,0.0227,0.0121,1.8736,0.0425
T7_TP7 <> FC3_P9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.1045,0.0552,0.0408,1.3510,0.0745
T7_TP7 <> FC3_P9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.2084,0.1027,0.0593,1.7302,0.1777
T7_TP7 <> FC3_P9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2029,0.1086,0.0566,1.9177,0.2083
T7_TP7 <> FC3_P9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1623,0.0900,0.0476,1.8934,0.1705
T7_TP7 <> FC3_P9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1217,0.0679,0.0362,1.8772,0.1275
T7_TP7 <> FC3_P9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0811,0.0453,0.0242,1.8740,0.0849
T7_TP7 <> FC3_P9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0406,0.0227,0.0121,1.8735,0.0425
T7_TP7 <> FC3_TP9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0887,0.0506,0.0353,1.4327,0.0725
T7_TP7 <> FC3_TP9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1775,0.0921,0.0549,1.6783,0.1546
T7_TP7 <> FC3_TP9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1991,0.1038,0.0549,1.8897,0.1961
T7_TP7 <> FC3_TP9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1623,0.0889,0.0468,1.8974,0.1686
T7_TP7 <> FC3_TP9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1217,0.0677,0.0360,1.8818,0.1274
T7_TP7 <> FC3_TP9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0811,0.0453,0.0242,1.8748,0.0849
T7_TP7 <> FC3_TP9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0406,0.0227,0.0121,1.8736,0.0425
T7_TP7 <> AF7_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.1010,0.0611,0.0433,1.4129,0.0864
T7_TP7 <> AF7_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1660,0.1131,0.0606,1.8677,0.2112
T7_TP7 <> AF7_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2029,0.1130,0.0576,1.9620,0.2216
T7_TP7 <> AF7_P3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1623,0.0906,0.0479,1.8936,0.1716
T7_TP7 <> AF7_P3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1217,0.0680,0.0363,1.8754,0.1275
T7_TP7 <> AF7_P3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0811,0.0453,0.0242,1.8738,0.0850
T7_TP7 <> AF7_P3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0406,0.0227,0.0121,1.8735,0.0425
T7_TP7 <> AF7_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.1036,0.0587,0.0388,1.5117,0.0888
T7_TP7 <> AF7_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1572,0.1068,0.0564,1.8929,0.2022
T7_TP7 <> AF7_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1865,0.1100,0.0559,1.9689,0.2167
T7_TP7 <> AF7_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1623,0.0906,0.0473,1.9135,0.1734
T7_TP7 <> AF7_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1217,0.0680,0.0362,1.8807,0.1279
T7_TP7 <> AF7_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0811,0.0453,0.0242,1.8744,0.0850
T7_TP7 <> AF7_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0406,0.0227,0.0121,1.8736,0.0425
T7_TP7 <> AF7_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0937,0.0596,0.0422,1.4117,0.0841
T7_TP7 <> AF7_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1874,0.1130,0.0621,1.8201,0.2057
T7_TP7 <> AF7_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2029,0.1131,0.0579,1.9518,0.2207
T7_TP7 <> AF7_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1623,0.0906,0.0480,1.8880,0.1711
T7_TP7 <> AF7_PO7_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1217,0.0680,0.0363,1.8749,0.1275
T7_TP7 <> AF7_PO7_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0811,0.0453,0.0242,1.8738,0.0849
T7_TP7 <> AF7_PO7_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0406,0.0227,0.0121,1.8735,0.0425
T7_TP7 <> AF7_P9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0924,0.0548,0.0374,1.4672,0.0805
T7_TP7 <> AF7_P9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1849,0.1062,0.0577,1.8415,0.1955
T7_TP7 <> AF7_P9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2029,0.1127,0.0563,2.0005,0.2254
T7_TP7 <> AF7_P9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1623,0.0906,0.0476,1.9018,0.1723
T7_TP7 <> AF7_P9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1217,0.0680,0.0362,1.8766,0.1276
T7_TP7 <> AF7_P9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0811,0.0453,0.0242,1.8740,0.0850
T7_TP7 <> AF7_P9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0406,0.0227,0.0121,1.8735,0.0425
T7_TP7 <> AF7_TP9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0797,0.0491,0.0308,1.5943,0.0783
T7_TP7 <> AF7_TP9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1523,0.0940,0.0514,1.8282,0.1718
T7_TP7 <> AF7_TP9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1948,0.1088,0.0542,2.0084,0.2185
T7_TP7 <> AF7_TP9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1623,0.0905,0.0469,1.9304,0.1747
T7_TP7 <> AF7_TP9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1217,0.0680,0.0361,1.8845,0.1281
T7_TP7 <> AF7_TP9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0811,0.0453,0.0242,1.8746,0.0850
T7_TP7 <> AF7_TP9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0406,0.0227,0.0121,1.8736,0.0425
T7_TP7 <> F9_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0898,0.0527,0.0405,1.3028,0.0687
T7_TP7 <> F9_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1550,0.1020,0.0609,1.6749,0.1709
T7_TP7 <> F9_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1899,0.1099,0.0579,1.8980,0.2086
T7_TP7 <> F9_P3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1623,0.0906,0.0480,1.8880,0.1711
T7_TP7 <> F9_P3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1217,0.0680,0.0363,1.8748,0.1275
T7_TP7 <> F9_P3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0811,0.0453,0.0242,1.8737,0.0849
T7_TP7 <> F9_P3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0406,0.0227,0.0121,1.8735,0.0425
T7_TP7 <> F9_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0949,0.0538,0.0383,1.4025,0.0754
T7_TP7 <> F9_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1545,0.0999,0.0579,1.7247,0.1724
T7_TP7 <> F9_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1697,0.1054,0.0566,1.8623,0.1963
T7_TP7 <> F9_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1571,0.0895,0.0476,1.8819,0.1685
T7_TP7 <> F9_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1217,0.0679,0.0362,1.8769,0.1275
T7_TP7 <> F9_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0811,0.0453,0.0242,1.8741,0.0850
T7_TP7 <> F9_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0406,0.0227,0.0121,1.8736,0.0425
T7_TP7 <> F9_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0740,0.0470,0.0347,1.3540,0.0637
T7_TP7 <> F9_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1448,0.0936,0.0598,1.5648,0.1464
T7_TP7 <> F9_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1961,0.1112,0.0577,1.9296,0.2147
T7_TP7 <> F9_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1623,0.0907,0.0480,1.8872,0.1711
T7_TP7 <> F9_PO7_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1217,0.0680,0.0363,1.8742,0.1275
T7_TP7 <> F9_PO7_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0811,0.0453,0.0242,1.8736,0.0849
T7_TP7 <> F9_PO7_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0406,0.0227,0.0121,1.8735,0.0425
T7_TP7 <> F9_P9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0623,0.0396,0.0265,1.4969,0.0593
T7_TP7 <> F9_P9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1246,0.0792,0.0499,1.5874,0.1257
T7_TP7 <> F9_P9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1866,0.1075,0.0542,1.9827,0.2131
T7_TP7 <> F9_P9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1623,0.0906,0.0473,1.9177,0.1738
T7_TP7 <> F9_P9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1217,0.0680,0.0362,1.8765,0.1276
T7_TP7 <> F9_P9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0811,0.0453,0.0242,1.8739,0.0850
T7_TP7 <> F9_P9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0406,0.0227,0.0121,1.8735,0.0425
T7_TP7 <> F9_TP9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0525,0.0325,0.0196,1.6600,0.0540
T7_TP7 <> F9_TP9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1049,0.0650,0.0385,1.6858,0.1096
T7_TP7 <> F9_TP9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1365,0.0912,0.0496,1.8369,0.1674
T7_TP7 <> F9_TP9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1605,0.0894,0.0458,1.9537,0.1747
T7_TP7 <> F9_TP9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1217,0.0680,0.0360,1.8890,0.1284
T7_TP7 <> F9_TP9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0811,0.0453,0.0242,1.8745,0.0850
T7_TP7 <> F9_TP9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0406,0.0227,0.0121,1.8736,0.0425
T7_TP7 <> FT9_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0826,0.0493,0.0388,1.2695,0.0625
T7_TP7 <> FT9_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1525,0.0974,0.0606,1.6070,0.1565
T7_TP7 <> FT9_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1890,0.1092,0.0583,1.8736,0.2046
T7_TP7 <> FT9_P3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1623,0.0906,0.0481,1.8833,0.1707
T7_TP7 <> FT9_P3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1217,0.0680,0.0363,1.8744,0.1275
T7_TP7 <> FT9_P3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0811,0.0453,0.0242,1.8736,0.0849
T7_TP7 <> FT9_P3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0406,0.0227,0.0121,1.8735,0.0425
T7_TP7 <> FT9_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0878,0.0506,0.0372,1.3604,0.0689
T7_TP7 <> FT9_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1526,0.0966,0.0577,1.6734,0.1616
T7_TP7 <> FT9_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1659,0.1045,0.0569,1.8383,0.1921
T7_TP7 <> FT9_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1571,0.0894,0.0477,1.8724,0.1673
T7_TP7 <> FT9_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1217,0.0679,0.0362,1.8753,0.1273
T7_TP7 <> FT9_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0811,0.0453,0.0242,1.8740,0.0850
T7_TP7 <> FT9_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0406,0.0227,0.0121,1.8736,0.0425
T7_TP7 <> FT9_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0670,0.0431,0.0321,1.3399,0.0577
T7_TP7 <> FT9_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1340,0.0861,0.0581,1.4812,0.1275
T7_TP7 <> FT9_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1935,0.1103,0.0580,1.9027,0.2098
T7_TP7 <> FT9_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1623,0.0907,0.0482,1.8812,0.1706
T7_TP7 <> FT9_PO7_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1217,0.0680,0.0363,1.8736,0.1274
T7_TP7 <> FT9_PO7_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0811,0.0453,0.0242,1.8735,0.0849
T7_TP7 <> FT9_PO7_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0406,0.0227,0.0121,1.8735,0.0425
T7_TP7 <> FT9_P9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0579,0.0354,0.0232,1.5254,0.0540
T7_TP7 <> FT9_P9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1158,0.0708,0.0451,1.5713,0.1113
T7_TP7 <> FT9_P9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1737,0.1037,0.0535,1.9385,0.2010
T7_TP7 <> FT9_P9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1623,0.0907,0.0473,1.9163,0.1738
T7_TP7 <> FT9_P9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1217,0.0680,0.0363,1.8747,0.1275
T7_TP7 <> FT9_P9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0811,0.0453,0.0242,1.8737,0.0849
T7_TP7 <> FT9_P9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0406,0.0227,0.0121,1.8735,0.0425
T7_TP7 <> FT9_TP9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0423,0.0268,0.0159,1.6871,0.0453
T7_TP7 <> FT9_TP9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.0846,0.0536,0.0318,1.6887,0.0906
T7_TP7 <> FT9_TP9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1224,0.0799,0.0455,1.7557,0.1403
T7_TP7 <> FT9_TP9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1546,0.0884,0.0451,1.9572,0.1729
T7_TP7 <> FT9_TP9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1217,0.0680,0.0360,1.8867,0.1283
T7_TP7 <> FT9_TP9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0811,0.0453,0.0242,1.8739,0.0850
T7_TP7 <> FT9_TP9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0406,0.0227,0.0121,1.8735,0.0425
T7_CP5 <> F3_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0866,0.0537,0.0411,1.3080,0.0703
T7_CP5 <> F3_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1680,0.1057,0.0732,1.4432,0.1525
T7_CP5 <> F3_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2014,0.1296,0.0812,1.5961,0.2069
T7_CP5 <> F3_P3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1722,0.1129,0.0713,1.5824,0.1786
T7_CP5 <> F3_P3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1291,0.0856,0.0551,1.5531,0.1329
T7_CP5 <> F3_P3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0861,0.0571,0.0370,1.5457,0.0883
T7_CP5 <> F3_P3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0430,0.0286,0.0185,1.5442,0.0441
T7_CP5 <> F3_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0830,0.0480,0.0344,1.3926,0.0668
T7_CP5 <> F3_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1635,0.0950,0.0630,1.5082,0.1433
T7_CP5 <> F3_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2054,0.1234,0.0752,1.6406,0.2025
T7_CP5 <> F3_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1722,0.1124,0.0702,1.6017,0.1800
T7_CP5 <> F3_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1291,0.0856,0.0549,1.5584,0.1334
T7_CP5 <> F3_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0861,0.0571,0.0369,1.5465,0.0883
T7_CP5 <> F3_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0430,0.0286,0.0185,1.5443,0.0441
T7_CP5 <> F3_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0984,0.0573,0.0442,1.2959,0.0743
T7_CP5 <> F3_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1877,0.1090,0.0738,1.4778,0.1612
T7_CP5 <> F3_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1984,0.1270,0.0792,1.6025,0.2035
T7_CP5 <> F3_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1710,0.1114,0.0704,1.5832,0.1764
T7_CP5 <> F3_PO7_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1291,0.0854,0.0548,1.5569,0.1329
T7_CP5 <> F3_PO7_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0861,0.0571,0.0369,1.5465,0.0883
T7_CP5 <> F3_PO7_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0430,0.0286,0.0185,1.5442,0.0441
T7_CP5 <> F3_P9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0998,0.0564,0.0425,1.3263,0.0748
T7_CP5 <> F3_P9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1860,0.1043,0.0690,1.5115,0.1576
T7_CP5 <> F3_P9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1961,0.1211,0.0750,1.6154,0.1956
T7_CP5 <> F3_P9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1710,0.1086,0.0682,1.5929,0.1730
T7_CP5 <> F3_P9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1283,0.0846,0.0541,1.5634,0.1322
T7_CP5 <> F3_P9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0860,0.0570,0.0368,1.5488,0.0883
T7_CP5 <> F3_P9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0430,0.0286,0.0185,1.5445,0.0441
T7_CP5 <> F3_TP9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0845,0.0524,0.0371,1.4123,0.0740
T7_CP5 <> F3_TP9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1615,0.0965,0.0631,1.5303,0.1477
T7_CP5 <> F3_TP9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1817,0.1152,0.0712,1.6185,0.1865
T7_CP5 <> F3_TP9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1610,0.1067,0.0663,1.6088,0.1716
T7_CP5 <> F3_TP9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1283,0.0841,0.0535,1.5719,0.1322
T7_CP5 <> F3_TP9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0855,0.0569,0.0367,1.5513,0.0883
T7_CP5 <> F3_TP9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0429,0.0286,0.0185,1.5448,0.0441
T7_CP5 <> FC3_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0848,0.0456,0.0336,1.3545,0.0617
T7_CP5 <> FC3_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1688,0.0902,0.0633,1.4249,0.1285
T7_CP5 <> FC3_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1960,0.1171,0.0760,1.5419,0.1806
T7_CP5 <> FC3_P3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1710,0.1092,0.0698,1.5649,0.1709
T7_CP5 <> FC3_P3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1283,0.0852,0.0548,1.5559,0.1326
T7_CP5 <> FC3_P3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0861,0.0571,0.0369,1.5468,0.0883
T7_CP5 <> FC3_P3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0430,0.0286,0.0185,1.5443,0.0441
T7_CP5 <> FC3_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0608,0.0362,0.0249,1.4501,0.0524
T7_CP5 <> FC3_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1216,0.0722,0.0486,1.4854,0.1072
T7_CP5 <> FC3_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1689,0.1032,0.0639,1.6145,0.1667
T7_CP5 <> FC3_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1665,0.1065,0.0657,1.6207,0.1725
T7_CP5 <> FC3_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1291,0.0849,0.0541,1.5706,0.1334
T7_CP5 <> FC3_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0861,0.0571,0.0369,1.5492,0.0885
T7_CP5 <> FC3_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0430,0.0286,0.0185,1.5446,0.0441
T7_CP5 <> FC3_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.1018,0.0528,0.0401,1.3174,0.0696
T7_CP5 <> FC3_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1903,0.0995,0.0691,1.4407,0.1433
T7_CP5 <> FC3_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1973,0.1178,0.0768,1.5331,0.1806
T7_CP5 <> FC3_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1710,0.1072,0.0694,1.5446,0.1656
T7_CP5 <> FC3_PO7_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1283,0.0843,0.0545,1.5457,0.1303
T7_CP5 <> FC3_PO7_I1-0.5mA_I2-1.5mA,0.5,1.5,0.0855,0.0570,0.0369,1.5451,0.0881
T7_CP5 <> FC3_PO7_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0430,0.0286,0.0185,1.5442,0.0441
T7_CP5 <> FC3_P9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.1045,0.0547,0.0411,1.3300,0.0727
