Montage,Current_Ch1_mA,Current_Ch2_mA,TImax_ROI,TImean_ROI,TImean_GM,Focality,Composite_Index
F7_P5 <> F3_P9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0975,0.0638,0.0373,1.7101,0.1091
F7_P5 <> F3_TP9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0845,0.0529,0.0383,1.3814,0.0731
F7_P5 <> F3_TP9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1690,0.1058,0.0758,1.3970,0.1479
F7_P5 <> F3_TP9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2536,0.1584,0.1074,1.4754,0.2337
F7_P5 <> F3_TP9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3379,0.2023,0.1197,1.6895,0.3418
F7_P5 <> F3_TP9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2925,0.1881,0.1052,1.7887,0.3365
F7_P5 <> F3_TP9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1950,0.1275,0.0738,1.7285,0.2204
F7_P5 <> F3_TP9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0975,0.0638,0.0373,1.7109,0.1091
F7_P5 <> FC3_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0848,0.0456,0.0338,1.3477,0.0614
F7_P5 <> FC3_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1695,0.0911,0.0676,1.3481,0.1229
F7_P5 <> FC3_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2543,0.1367,0.1009,1.3545,0.1851
F7_P5 <> FC3_P3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3390,0.1820,0.1215,1.4975,0.2725
F7_P5 <> FC3_P3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2925,0.1878,0.1084,1.7332,0.3255
F7_P5 <> FC3_P3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1950,0.1275,0.0742,1.7185,0.2192
F7_P5 <> FC3_P3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0975,0.0638,0.0373,1.7103,0.1091
F7_P5 <> FC3_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0608,0.0362,0.0250,1.4474,0.0523
F7_P5 <> FC3_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1216,0.0723,0.0500,1.4476,0.1047
F7_P5 <> FC3_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1824,0.1085,0.0748,1.4505,0.1573
F7_P5 <> FC3_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2432,0.1446,0.0945,1.5296,0.2212
F7_P5 <> FC3_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2925,0.1776,0.0980,1.8130,0.3220
F7_P5 <> FC3_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1950,0.1276,0.0739,1.7256,0.2201
F7_P5 <> FC3_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0975,0.0638,0.0373,1.7110,0.1091
F7_P5 <> FC3_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.1018,0.0530,0.0410,1.2923,0.0685
F7_P5 <> FC3_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.2036,0.1060,0.0817,1.2968,0.1374
F7_P5 <> FC3_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.3054,0.1588,0.1185,1.3402,0.2128
F7_P5 <> FC3_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3856,0.2030,0.1307,1.5538,0.3155
